"EmriKandidatit","Data","NrLike","NrReaction","NrKomenteve","NrShare","nrPosteve","Partia","Komuna"
"pdkdegaviti","2017-10-23","0","0","0","0","0","PDK","Viti"
"VVMalisheva","2017-10-23","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","MalishevÃ«"
"1891305244219623","2017-10-23","0","0","0","0","0","AAK","DeÃ§an"
"SamiKurteshi13","2017-10-23","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Gjilan"
"feritidrizii","2017-10-23","0","0","0","0","0","PDK","Vushtrri"
"1940058396319659","2017-10-23","0","0","0","0","0","PDK","Obiliq"
"voto47","2017-10-23","0","0","0","0","0","LDK","Rahovec"
"gradonacelnikjablanovic","2017-10-23","0","0","0","0","0","PKS","Leposaviq"
"BekimHamezJashari","2017-10-23","0","0","0","0","0","KP","Skenderaj"
"xhafertahiriofficial","2017-10-23","0","0","0","0","0","LDK","Vushtrri"
"222542211233814","2017-10-23","0","0","0","0","0","AAK","Junik"
"asllanajsali","2017-10-23","0","0","0","0","0","LDK","SuharekÃ«"
"Zenunelezaj1963","2017-10-23","0","0","0","0","0","AAK","KlinÃ«"
"pdkmalisheva","2017-10-23","0","0","0","0","0","PDK","MalishevÃ«"
"mhaskukaa","2017-10-23","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Prizren"
"Dr.IdrizVehapi","2017-10-23","0","0","0","0","0","PDK","Rahovec"
"310775596061589","2017-10-23","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Vushtrri"
"ShkelqimMJakupi","2017-10-23","0","0","0","0","0","LDK","KaÃ§anik"
"ardiangjiniaak","2017-10-23","0","0","0","0","0","AAK","Gjakova"
"selimshabanldk47","2017-10-23","0","0","0","0","0","LDK","Shtime"
"LVVKline","2017-10-23","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","KlinÃ«"
"RexhepKadriu.rks","2017-10-23","0","0","0","0","0","AAK","Gjilan"
"selimpacolliofficial","2017-10-23","0","0","0","0","0","AKR","Prishtina"
"safetkamberipermitrovicen","2017-10-23","0","0","0","0","0","LDK","Mitrovica"
